,dateRep,cases,deaths,countriesAndTerritories,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,DIY,Cafe,online_lesson,Bar,Home_Workout,Sewing,Restaurant,deaths18
37,2020-01-15,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,103.17,63.98235564853551,97.86,62.0,65.0,36.0,54.0,10.0,50.0,82.0,0.0
38,2020-01-15,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,107.49,105.01,110.44,52.0,87.0,21.0,83.0,9.0,36.0,75.0,0.0
39,2020-01-15,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,103.08,101.88,100.8,51.0,90.0,30.0,71.0,7.0,50.0,57.0,0.0
40,2020-01-15,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,106.4,105.37,114.37,42.0,59.0,17.0,70.0,6.0,37.0,55.0,0.0
41,2020-01-15,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,102.0,63.98235564853551,102.6,74.0,81.0,52.0,65.0,0.0,52.0,70.0,0.0
42,2020-01-16,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,110.77,63.98235564853551,107.41,51.0,75.0,27.0,59.0,12.0,59.0,70.0,0.0
43,2020-01-16,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,104.28,103.89,112.59,42.0,59.0,17.0,73.0,12.0,37.0,58.0,0.0
44,2020-01-16,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,108.48,99.04,100.6,48.0,89.0,25.0,92.0,17.0,26.0,93.0,0.0
45,2020-01-16,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,107.25,103.75,121.22,46.0,67.0,23.0,59.0,0.0,40.0,46.0,0.0
46,2020-01-16,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,103.49,63.98235564853551,100.22,62.0,65.0,36.0,54.0,10.0,50.0,82.0,0.0
47,2020-01-16,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,105.17,101.01,108.64,50.0,83.0,17.0,90.0,13.0,39.0,75.0,0.0
48,2020-01-16,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,107.43,106.29,107.91,51.0,90.0,30.0,71.0,7.0,50.0,57.0,0.0
49,2020-01-16,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,101.88,100.2,99.05,73.0,72.0,13.0,85.0,20.0,42.0,81.0,0.0
50,2020-01-16,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,103.99,102.6,115.64,53.0,70.0,4.0,94.0,5.0,63.0,73.0,0.0
51,2020-01-16,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,104.61,105.37,110.76,56.0,63.0,3.0,35.0,0.0,11.0,56.0,0.0
52,2020-01-16,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,107.67,105.87,118.86,52.0,87.0,21.0,83.0,9.0,36.0,75.0,0.0
53,2020-01-16,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,103.86,63.98235564853551,105.07,74.0,81.0,52.0,65.0,0.0,52.0,70.0,0.0
54,2020-01-16,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,106.06,101.98,107.62,54.0,87.0,11.0,91.0,8.0,73.0,73.0,0.0
55,2020-01-16,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,106.18,99.52,107.32,66.0,78.0,55.0,70.0,7.0,50.0,24.0,0.0
56,2020-01-17,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,114.38,114.32,124.13,56.0,70.0,3.0,48.0,16.0,11.0,69.0,0.0
57,2020-01-17,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,112.07,106.97,117.98,46.0,69.0,23.0,68.0,0.0,40.0,56.0,0.0
58,2020-01-17,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,111.2,63.98235564853551,114.14,74.0,81.0,52.0,65.0,0.0,52.0,70.0,0.0
59,2020-01-17,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,127.22,63.98235564853551,114.75,62.0,65.0,36.0,54.0,10.0,50.0,82.0,0.0
60,2020-01-17,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,117.38,113.55,139.1,52.0,87.0,21.0,83.0,9.0,36.0,75.0,0.0
61,2020-01-17,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,109.27,109.38,128.99,42.0,65.0,17.0,83.0,9.0,37.0,65.0,0.0
62,2020-01-17,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,113.69,97.06,104.13,73.0,72.0,13.0,85.0,20.0,42.0,81.0,0.0
63,2020-01-17,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,122.34,105.42,127.43,50.0,83.0,17.0,90.0,13.0,39.0,75.0,0.0
64,2020-01-17,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,125.51,108.03,121.36,48.0,89.0,25.0,92.0,17.0,26.0,93.0,0.0
65,2020-01-17,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,120.64,63.98235564853551,113.91,51.0,75.0,27.0,59.0,12.0,59.0,70.0,0.0
66,2020-01-17,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,124.86,120.34,134.63,51.0,90.0,30.0,71.0,7.0,50.0,57.0,0.0
67,2020-01-17,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,127.97,110.88,127.85,54.0,87.0,11.0,91.0,8.0,73.0,73.0,0.0
68,2020-01-17,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,114.69,107.35,122.71,66.0,78.0,55.0,70.0,7.0,50.0,24.0,0.0
69,2020-01-17,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,104.6,111.68,132.95,53.0,70.0,4.0,94.0,5.0,63.0,73.0,0.0
70,2020-01-18,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,119.32,110.73,174.99,52.0,87.0,21.0,83.0,9.0,36.0,75.0,0.0
71,2020-01-18,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,114.38,81.01,101.18,73.0,72.0,13.0,85.0,20.0,42.0,81.0,0.0
72,2020-01-18,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,134.25,96.82,135.02,54.0,87.0,11.0,91.0,8.0,73.0,73.0,0.0
73,2020-01-18,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,108.3,115.05,157.81,42.0,79.0,17.0,88.0,4.0,37.0,76.0,0.0
74,2020-01-18,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,136.84,63.98235564853551,128.02,51.0,75.0,27.0,59.0,12.0,59.0,70.0,0.0
75,2020-01-18,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,127.45,113.33,142.38,66.0,78.0,55.0,70.0,7.0,50.0,24.0,0.0
76,2020-01-18,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,102.5,89.65,122.55,50.0,83.0,17.0,90.0,13.0,39.0,75.0,0.0
77,2020-01-18,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,115.04,97.41,132.38,48.0,89.0,25.0,92.0,17.0,26.0,93.0,0.0
78,2020-01-18,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,98.09,111.47,149.99,53.0,70.0,4.0,94.0,5.0,63.0,73.0,0.0
79,2020-01-18,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,114.84,111.44,135.17,46.0,96.0,23.0,84.0,31.0,40.0,71.0,0.0
80,2020-01-18,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,135.77,63.98235564853551,128.47,62.0,65.0,36.0,54.0,10.0,50.0,82.0,0.0
81,2020-01-18,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,123.89,112.86,143.26,51.0,90.0,30.0,71.0,7.0,50.0,57.0,0.0
82,2020-01-18,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,109.65,116.37,137.91,56.0,78.0,3.0,57.0,9.0,11.0,80.0,0.0
83,2020-01-18,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,107.34,63.98235564853551,112.0,74.0,81.0,52.0,65.0,0.0,52.0,70.0,0.0
84,2020-01-19,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,110.65,108.25,109.49,66.0,78.0,55.0,70.0,7.0,50.0,24.0,0.0
85,2020-01-19,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,103.81,102.26,91.01,56.0,88.0,3.0,40.0,5.0,11.0,79.0,0.0
86,2020-01-19,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,101.5,94.58,94.59,51.0,90.0,30.0,71.0,7.0,50.0,57.0,0.0
87,2020-01-19,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,93.02,77.79,87.85,54.0,87.0,11.0,91.0,8.0,73.0,73.0,0.0
88,2020-01-19,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,122.4,63.98235564853551,113.39,51.0,75.0,27.0,59.0,12.0,59.0,70.0,0.0
89,2020-01-19,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,91.46,101.94,109.48,53.0,70.0,4.0,94.0,5.0,63.0,73.0,0.0
90,2020-01-19,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,102.74,63.98235564853551,97.02,74.0,81.0,52.0,65.0,0.0,52.0,70.0,0.0
91,2020-01-19,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,102.68,100.53,111.72,52.0,87.0,21.0,83.0,9.0,36.0,75.0,0.0
92,2020-01-19,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,84.46,75.87,90.42,50.0,83.0,17.0,90.0,13.0,39.0,75.0,0.0
93,2020-01-19,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,91.06,69.05,69.84,73.0,72.0,13.0,85.0,20.0,42.0,81.0,0.0
94,2020-01-19,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,90.91,85.4,100.1,48.0,89.0,25.0,92.0,17.0,26.0,93.0,0.0
95,2020-01-19,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,109.68,63.98235564853551,107.06,62.0,65.0,36.0,54.0,10.0,50.0,82.0,0.0
96,2020-01-19,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,94.3,99.52,101.98,42.0,77.0,17.0,73.0,8.0,37.0,64.0,0.0
97,2020-01-19,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,93.4,93.29,79.07,46.0,90.0,23.0,62.0,0.0,40.0,49.0,0.0
